datetime,subba,parent,value,temperature_2m
2024-03-09 04:00:00+00:00,ZONE,NYIS,798,-0.041500002
2024-03-09 04:00:00+00:00,ZONF,NYIS,1149,-0.041500002
2024-03-09 04:00:00+00:00,ZONB,NYIS,969,-0.041500002
2024-03-09 04:00:00+00:00,ZONA,NYIS,1619,-0.041500002
2024-03-09 04:00:00+00:00,ZONK,NYIS,2040,-0.041500002
2024-03-09 04:00:00+00:00,ZONJ,NYIS,5044,-0.041500002
2024-03-09 04:00:00+00:00,ZONI,NYIS,576,-0.041500002
2024-03-09 04:00:00+00:00,ZONG,NYIS,1008,-0.041500002
2024-03-09 04:00:00+00:00,ZONH,NYIS,286,-0.041500002
2024-03-09 05:00:00+00:00,ZONA,NYIS,1558,-0.1415
2024-03-09 05:00:00+00:00,ZOND,NYIS,634,-0.1415
2024-03-09 05:00:00+00:00,ZONE,NYIS,760,-0.1415
2024-03-09 05:00:00+00:00,ZONF,NYIS,1091,-0.1415
2024-03-09 05:00:00+00:00,ZONC,NYIS,1440,-0.1415
2024-03-09 05:00:00+00:00,ZONB,NYIS,909,-0.1415
2024-03-09 05:00:00+00:00,ZONK,NYIS,1918,-0.1415
2024-03-09 05:00:00+00:00,ZONJ,NYIS,4787,-0.1415
2024-03-09 05:00:00+00:00,ZONI,NYIS,538,-0.1415
2024-03-09 05:00:00+00:00,ZONG,NYIS,955,-0.1415
2024-03-09 05:00:00+00:00,ZONH,NYIS,267,-0.1415
2024-03-09 06:00:00+00:00,ZOND,NYIS,634,0.108500004
2024-03-09 06:00:00+00:00,ZONE,NYIS,723,0.108500004
2024-03-09 06:00:00+00:00,ZONF,NYIS,1054,0.108500004
2024-03-09 06:00:00+00:00,ZONC,NYIS,1405,0.108500004
2024-03-09 06:00:00+00:00,ZONB,NYIS,886,0.108500004
2024-03-09 06:00:00+00:00,ZONA,NYIS,1494,0.108500004
2024-03-09 06:00:00+00:00,ZONK,NYIS,1817,0.108500004
2024-03-09 06:00:00+00:00,ZONJ,NYIS,4543,0.108500004
2024-03-09 06:00:00+00:00,ZONI,NYIS,518,0.108500004
2024-03-09 06:00:00+00:00,ZONG,NYIS,907,0.108500004
2024-03-09 06:00:00+00:00,ZONH,NYIS,259,0.108500004
2024-03-09 07:00:00+00:00,ZONC,NYIS,1353,1.6085
2024-03-09 07:00:00+00:00,ZOND,NYIS,622,1.6085
2024-03-09 07:00:00+00:00,ZONE,NYIS,713,1.6085
2024-03-09 07:00:00+00:00,ZONF,NYIS,1026,1.6085
2024-03-09 07:00:00+00:00,ZONB,NYIS,876,1.6085
2024-03-09 07:00:00+00:00,ZONA,NYIS,1501,1.6085
2024-03-09 07:00:00+00:00,ZONK,NYIS,1735,1.6085
2024-03-09 07:00:00+00:00,ZONJ,NYIS,4370,1.6085
2024-03-09 07:00:00+00:00,ZONI,NYIS,499,1.6085
2024-03-09 07:00:00+00:00,ZONG,NYIS,880,1.6085
2024-03-09 07:00:00+00:00,ZONH,NYIS,247,1.6085
2024-03-09 08:00:00+00:00,ZOND,NYIS,639,3.6085
2024-03-09 08:00:00+00:00,ZONF,NYIS,1007,3.6085
2024-03-09 08:00:00+00:00,ZONE,NYIS,704,3.6085
2024-03-09 08:00:00+00:00,ZONC,NYIS,1357,3.6085
2024-03-09 08:00:00+00:00,ZONB,NYIS,862,3.6085
2024-03-09 08:00:00+00:00,ZONA,NYIS,1450,3.6085
2024-03-09 08:00:00+00:00,ZONK,NYIS,1684,3.6085
2024-03-09 08:00:00+00:00,ZONJ,NYIS,4252,3.6085
2024-03-09 08:00:00+00:00,ZONI,NYIS,484,3.6085
2024-03-09 08:00:00+00:00,ZONG,NYIS,865,3.6085
2024-03-09 08:00:00+00:00,ZONH,NYIS,242,3.6085
2024-03-09 09:00:00+00:00,ZONC,NYIS,1347,5.6584997
2024-03-09 09:00:00+00:00,ZOND,NYIS,620,5.6584997
2024-03-09 09:00:00+00:00,ZONE,NYIS,701,5.6584997
2024-03-09 09:00:00+00:00,ZONF,NYIS,1002,5.6584997
2024-03-09 09:00:00+00:00,ZONA,NYIS,1458,5.6584997
2024-03-09 09:00:00+00:00,ZONB,NYIS,864,5.6584997
2024-03-09 09:00:00+00:00,ZONI,NYIS,476,5.6584997
2024-03-09 09:00:00+00:00,ZONK,NYIS,1656,5.6584997
2024-03-09 09:00:00+00:00,ZONJ,NYIS,4185,5.6584997
2024-03-09 09:00:00+00:00,ZONG,NYIS,857,5.6584997
2024-03-09 09:00:00+00:00,ZONH,NYIS,240,5.6584997
2024-03-09 10:00:00+00:00,ZOND,NYIS,624,7.5084996
2024-03-09 10:00:00+00:00,ZONE,NYIS,706,7.5084996
2024-03-09 10:00:00+00:00,ZONC,NYIS,1355,7.5084996
2024-03-09 10:00:00+00:00,ZONB,NYIS,871,7.5084996
2024-03-09 10:00:00+00:00,ZONA,NYIS,1477,7.5084996
2024-03-09 10:00:00+00:00,ZONF,NYIS,1014,7.5084996
2024-03-09 10:00:00+00:00,ZONH,NYIS,241,7.5084996
2024-03-09 10:00:00+00:00,ZONK,NYIS,1663,7.5084996
2024-03-09 10:00:00+00:00,ZONJ,NYIS,4172,7.5084996
2024-03-09 10:00:00+00:00,ZONI,NYIS,474,7.5084996
2024-03-09 10:00:00+00:00,ZONG,NYIS,862,7.5084996
2024-03-09 11:00:00+00:00,ZONA,NYIS,1503,9.0085
2024-03-09 11:00:00+00:00,ZONF,NYIS,1039,9.0085
2024-03-09 11:00:00+00:00,ZONE,NYIS,738,9.0085
2024-03-09 11:00:00+00:00,ZOND,NYIS,624,9.0085
2024-03-09 11:00:00+00:00,ZONC,NYIS,1421,9.0085
2024-03-09 11:00:00+00:00,ZONB,NYIS,898,9.0085
2024-03-09 11:00:00+00:00,ZONK,NYIS,1710,9.0085
2024-03-09 11:00:00+00:00,ZONJ,NYIS,4253,9.0085
2024-03-09 11:00:00+00:00,ZONI,NYIS,487,9.0085
2024-03-09 11:00:00+00:00,ZONG,NYIS,884,9.0085
